Periodo,ID,Sector,Campaña,Lider,Fecha Ingreso,FECHA Monitoreo,% NOTA,NOTA,Rango,Estado,Motivo ,Año,Tipo de error ,EA,EG
202306,6184,Adultos Mayores,Adultos,LF,3/18/2022,6/21/2023,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202307,6184,Adultos Mayores,Adultos,LF,3/18/2022,7/10/2023,78.67%,78.67,3,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202307,6184,Adultos Mayores,Adultos,LF,3/18/2022,7/20/2023,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202204,2404,Adultos Mayores,Adultos,MCL,9/15/2021,4/1/2022,70.50%,70.50,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202204,2404,Adultos Mayores,Adultos,MCL,9/15/2021,4/12/2022,82.17%,82.17,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,2404,Adultos Mayores,Adultos,MCL,9/15/2021,5/5/2022,87.50%,87.50,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,2404,Adultos Mayores,Adultos,MCL,9/15/2021,5/24/2022,62.17%,62.17,2,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202206,2404,Adultos Mayores,Adultos,MCL,9/15/2021,6/1/2022,65.45%,65.45,2,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202206,2404,Adultos Mayores,Adultos,MCL,9/15/2021,6/6/2022,93.00%,93.00,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,2404,Adultos Mayores,Adultos,MCL,9/15/2021,7/1/2022,34.83%,34.83,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,2404,Adultos Mayores,Adultos,MCL,9/15/2021,7/14/2022,87.17%,87.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,8/2/2022,71.12%,71.12,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,8/8/2022,69.92%,69.92,2,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,9/1/2022,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,9/21/2022,91.50%,91.50,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,10/3/2022,83.55%,83.55,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,10/24/2022,87.85%,87.85,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,11/7/2022,100.00%,100.00,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,11/25/2022,81.31%,81.31,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202212,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,12/19/2022,91.00%,91.00,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202301,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,1/10/2023,66.25%,66.25,2,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202301,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,1/13/2023,"96,5%",96.50,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202302,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,2/8/2023,89.85%,89.85,5,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202302,2404,Adultos Mayores,Adultos,NYJ,9/15/2021,2/17/2023,93.00%,93.00,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202204,2366,Adultos Mayores,Adultos,RB,1/10/2022,4/1/2022,68.40%,68.40,2,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202204,2366,Adultos Mayores,Adultos,RB,1/10/2022,4/13/2022,69.90%,69.90,2,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202205,2366,Adultos Mayores,Adultos,RB,1/10/2022,5/3/2022,23.40%,23.40,1,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202205,2366,Adultos Mayores,Adultos,RB,1/10/2022,5/9/2022,10.45%,10.45,1,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202205,2366,Adultos Mayores,Adultos,RB,1/10/2022,5/26/2022,63.95%,63.95,2,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202308,2366,Adultos Mayores,Adultos,SS,1/10/2022,8/7/2023,96.50%,96.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202308,2366,Adultos Mayores,Adultos,SS,1/10/2022,8/22/2023,91.50%,91.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202309,2366,Adultos Mayores,Adultos,SS,1/10/2022,9/7/2023,77.83%,77.83,3,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202309,2366,Adultos Mayores,Adultos,SS,1/10/2022,9/21/2023,88.33%,88.33,5,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202310,2366,Adultos Mayores,Adultos,SS,1/10/2022,10/3/2023,100.00%,100.00,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202310,2366,Adultos Mayores,Adultos,SS,1/10/2022,10/17/2023,89.85%,89.85,5,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202206,2366,Adultos Mayores,Adultos,SS,1/10/2022,6/2/2022,0.00%,0.00,1,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202206,2366,Adultos Mayores,Adultos,SS,1/10/2022,6/9/2022,54.50%,54.50,2,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202207,2366,Adultos Mayores,Adultos,SS,1/10/2022,7/4/2022,23.40%,23.40,1,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202207,2366,Adultos Mayores,Adultos,SS,1/10/2022,7/14/2022,80.44%,80.44,4,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202208,2366,Adultos Mayores,Adultos,SS,1/10/2022,8/1/2022,76.90%,76.90,3,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202208,2366,Adultos Mayores,Adultos,SS,1/10/2022,8/8/2022,55.55%,55.55,2,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202209,2366,Adultos Mayores,Adultos,SS,1/10/2022,9/1/2022,95.28%,95.28,6,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202209,2366,Adultos Mayores,Adultos,SS,1/10/2022,9/21/2022,94.17%,94.17,6,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202210,2366,Adultos Mayores,Adultos,SS,1/10/2022,10/4/2022,91.78%,91.78,6,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202210,2366,Adultos Mayores,Adultos,SS,1/10/2022,10/26/2022,67.17%,67.17,2,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202211,2366,Adultos Mayores,Adultos,SS,1/10/2022,11/8/2022,85.83%,85.83,5,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202211,2366,Adultos Mayores,Adultos,SS,1/10/2022,11/25/2022,88.55%,88.55,5,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202212,2366,Adultos Mayores,Adultos,SS,1/10/2022,12/12/2022,96.50%,96.50,6,Activo,Adultos Mayores/Tarjetas,2022,,0,0
202301,2366,Adultos Mayores,Adultos,SS,1/10/2022,1/4/2023,96.50%,96.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202301,2366,Adultos Mayores,Adultos,SS,1/10/2022,1/16/2023,"70,67%",70.67,3,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202302,2366,Adultos Mayores,Adultos,SS,1/10/2022,2/2/2023,100.00%,100.00,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202302,2366,Adultos Mayores,Adultos,SS,1/10/2022,2/24/2023,85.83%,85.83,5,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202303,2366,Adultos Mayores,Adultos,SS,1/10/2022,3/6/2023,91.50%,91.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202303,2366,Adultos Mayores,Adultos,SS,1/10/2022,3/14/2023,96.50%,96.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202304,2366,Adultos Mayores,Adultos,SS,1/10/2022,4/14/2023,96.50%,96.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202304,2366,Adultos Mayores,Adultos,SS,1/10/2022,4/26/2023,90.67%,90.67,5,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202305,2366,Adultos Mayores,Adultos,SS,1/10/2022,5/10/2023,83.00%,83.00,4,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202305,2366,Adultos Mayores,Adultos,SS,1/10/2022,5/19/2023,86.00%,86.00,5,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202306,2366,Adultos Mayores,Adultos,SS,1/10/2022,6/1/2023,96.50%,96.50,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202306,2366,Adultos Mayores,Adultos,SS,1/10/2022,6/21/2023,100.00%,100.00,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
202307,2366,Adultos Mayores,Adultos,SS,1/10/2022,7/7/2023,94.17%,94.17,6,Activo,Adultos Mayores/Tarjetas,2023,,0,0
