ID,NOTA,Rango,Año,EA,EG,BT
2404,70.50,3,2022,0,0,0
2404,82.17,4,2022,0,0,0
2404,87.50,5,2022,0,0,0
2404,62.17,2,2022,0,0,0
2404,65.45,2,2022,0,0,0
2404,93.00,6,2022,0,0,0
2404,34.83,1,2022,0,0,0
2404,87.17,5,2022,0,0,0
2404,71.12,3,2022,0,0,0
2404,69.92,2,2022,0,0,0
2404,0.00,1,2022,0,0,0
2404,91.50,6,2022,0,0,0
2404,83.55,4,2022,0,0,0
2404,87.85,5,2022,0,0,0
2404,100.00,6,2022,0,0,0
2404,81.31,4,2022,0,0,0
2404,91.00,6,2022,0,0,0
2404,66.25,2,2023,0,0,0
2404,96.50,6,2023,0,0,0
2404,89.85,5,2023,0,0,0
2404,93.00,6,2023,0,0,0
2366,68.40,2,2022,0,0,0
2366,69.90,2,2022,0,0,0
2366,23.40,1,2022,0,0,0
2366,10.45,1,2022,0,0,0
2366,63.95,2,2022,0,0,0
2366,96.50,6,2023,0,0,0
2366,91.50,6,2023,0,0,0
2366,77.83,3,2023,0,0,0
2366,88.33,5,2023,0,0,0
2366,100.00,6,2023,0,0,0
2366,89.85,5,2023,0,0,0
2366,0.00,1,2022,0,0,0
2366,54.50,2,2022,0,0,0
2366,23.40,1,2022,0,0,0
2366,80.44,4,2022,0,0,0
2366,76.90,3,2022,0,0,0
2366,55.55,2,2022,0,0,0
2366,95.28,6,2022,0,0,0
2366,94.17,6,2022,0,0,0
2366,91.78,6,2022,0,0,0
2366,67.17,2,2022,0,0,0
2366,85.83,5,2022,0,0,0
2366,88.55,5,2022,0,0,0
2366,96.50,6,2022,0,0,0
2366,96.50,6,2023,0,0,0
2366,70.67,3,2023,0,0,0
2366,100.00,6,2023,0,0,0
2366,85.83,5,2023,0,0,0
2366,91.50,6,2023,0,0,0
2366,96.50,6,2023,0,0,0
2366,96.50,6,2023,0,0,0
2366,90.67,5,2023,0,0,0
2366,83.00,4,2023,0,0,0
2366,86.00,5,2023,0,0,0
2366,96.50,6,2023,0,0,0
2366,100.00,6,2023,0,0,0
2366,94.17,6,2023,0,0,0
2366,90.67,5,2023,1,0,0
5154,54.95,2,2021,0,0,0
5154,18.34,1,2021,0,0,0
5154,68.75,2,2021,0,0,0
5154,83.09,4,2022,0,0,0
5154,87.48,5,2022,0,0,0
5154,81.21,4,2022,0,0,0
5154,95.63,6,2022,0,0,0
5154,82.50,4,2022,0,0,0
5154,100.00,6,2022,0,0,0
5154,45.63,1,2022,0,0,0
