ID,Camp,Est,Antigüedad Días,BT,Nota,Sex,Age
8179,5,0,13,1,0.00,0,1
8236,5,0,9,1,0.00,1,1
8224,5,0,8,1,0.00,0,1
8166,5,0,24,1,83.90,1,1
8244,5,0,11,1,0.00,0,2
6835,5,0,233,0,87.70,1,2
8235,5,0,22,1,0.00,1,2
8261,5,0,15,1,0.00,1,3
8268,5,0,21,1,0.00,1,1
8324,5,0,7,1,0.00,1,1
6682,5,0,458,0,74.12,1,1
8029,5,0,171,0,55.14,0,1
8048,5,0,162,0,62.24,1,1
8254,5,0,23,1,0.00,1,2
2496,5,0,493,0,60.29,0,1
8171,5,0,56,0,80.17,0,2
6729,5,0,457,0,70.01,1,1
8066,5,1,148,0,77.93,1,1
8313,5,1,24,1,0.00,1,1
8241,5,1,66,0,81.66,0,1
2448,5,1,637,0,74.93,1,1
2506,5,1,512,0,84.45,1,1
2471,5,1,567,0,91.15,0,1
2355,5,1,689,0,92.39,1,2
6744,5,1,429,0,86.18,1,2
8063,5,1,155,0,83.16,1,1
8059,5,1,155,0,73.09,1,1
4096,5,1,570,0,65.88,1,1
8065,5,1,148,0,47.90,1,3
8167,5,1,79,0,76.95,1,3
8078,5,1,120,0,60.78,1,1
8070,5,1,148,0,66.48,1,1
6470,5,1,553,0,88.23,1,1
8028,5,1,206,0,70.93,1,1
6622,5,1,506,0,89.67,1,2
2502,5,1,513,0,89.35,1,2
5010,5,1,689,0,81.75,1,1
5026,5,1,689,0,79.19,1,1
5016,5,1,689,0,81.57,1,1
8225,5,1,64,0,0.00,0,1
8172,5,1,79,0,0.00,1,1
6500,5,1,535,0,85.58,0,1
8170,5,1,79,0,92.37,1,3
8024,5,1,206,0,77.05,1,3
8064,5,1,155,0,75.36,1,1
8314,5,1,23,1,0.00,1,1
6671,5,1,504,0,82.04,1,1
8237,5,1,66,0,0.00,0,1
8251,5,1,56,0,29.12,0,2
8165,5,1,79,0,46.81,1,1
6520,5,1,534,0,80.33,1,1
6195,5,1,689,0,85.56,1,2
8221,5,1,64,0,65.80,1,3
6579,5,1,512,0,71.43,1,3
8180,5,1,71,0,86.73,1,1
8062,5,1,155,0,52.44,1,1
8230,5,1,64,0,64.33,0,2
6145,5,1,689,0,72.51,0,1
8228,5,1,64,0,84.63,0,2
8310,5,1,27,1,84.63,1,3
8054,5,1,181,0,85.87,1,1
5022,5,1,689,0,84.06,1,2
5004,5,1,689,0,74.30,1,3
5104,5,1,689,0,69.69,1,2
5101,5,1,689,0,87.81,1,1
5158,5,1,689,0,74.58,1,1
5145,5,1,689,0,65.58,0,1
5152,5,1,689,0,79.88,1,1
5147,5,1,689,0,73.77,1,2
5173,5,1,689,0,85.68,1,1
6094,5,1,689,0,79.45,1,1
6089,5,1,689,0,86.09,1,2
6148,5,1,689,0,74.80,1,1
6181,5,1,689,0,88.56,1,1
1033,5,1,689,0,84.33,1,2
2245,5,1,689,0,85.24,1,2
2247,5,1,689,0,92.71,1,3
1029,5,1,689,0,68.95,1,2
1038,5,1,689,0,89.73,1,3
6186,5,1,689,0,79.91,0,2
2221,5,1,755,0,88.63,1,1
1030,5,1,689,0,78.41,1,1
2241,5,1,689,0,84.48,1,1
2303,5,1,689,0,90.99,1,1
2327,5,1,689,0,78.36,1,2
6205,5,1,689,0,78.59,1,1
2397,5,1,689,0,91.54,1,2
6201,5,1,689,0,81.09,1,3
2445,5,1,647,0,91.84,1,1
2433,5,1,647,0,92.26,1,3
6406,5,1,622,0,88.14,1,1
6414,5,1,618,0,72.68,1,2
6443,5,1,598,0,87.96,1,1
2488,5,1,526,0,89.67,0,1
